duty_no,departure,origin,destination,direction,valid_days,bus_type
504,04:40,Freedomsquare,Central Park,Forward,Monday to Friday,Standard
539,05:30,Freedomsquare,Central Park,Forward,Monday to Friday,Standard
530,05:40,Freedomsquare,Central Park,Forward,Monday to Friday,Standard
543,06:30,Freedomsquare,Central Park,Forward,Monday to Friday,Standard
538,05:20,Bergmansquare,Central Park,Forward,Monday to Friday,Standard
546,06:30,Bergmansquare,Central Park,Forward,Monday to Friday,Standard
534,05:20,Khayalitsha,Central Park,Forward,Monday to Friday,Standard
543,05:20,Khayalitsha,Central Park,Forward,Monday to Friday,Standard
551,06:20,Khayalitsha,Central Park,Forward,Monday to Friday,Standard
534,06:20,Khayalitsha,Central Park,Forward,Monday to Friday,Standard
559,05:30,Meadows,Central Park,Forward,Monday to Friday,Standard
560,06:30,Meadows,Central Park,Forward,Monday to Friday,Standard
531,05:20,Naledi,Central Park,Forward,Monday to Friday,Standard
540,05:30,Naledi,Central Park,Forward,Monday to Friday,Standard
547,06:20,Naledi,Central Park,Forward,Monday to Friday,Standard
502,05:40,Namibia,Central Park,Forward,Monday to Friday,Standard
545,05:20,Phase 2,Central Park,Forward,Monday to Friday,Standard
505,06:30,Phase 2,Central Park,Forward,Monday to Friday,Standard
506,05:00,Motsabi,Central Park,Forward,Monday to Friday,Standard
535,05:20,Motsabi,Central Park,Forward,Monday to Friday,Standard
501,05:30,Motsabi,Central Park,Forward,Monday to Friday,Standard
548,06:20,Motsabi,Central Park,Forward,Monday to Friday,Standard
562,05:20,Motsabi 2,Central Park,Forward,Monday to Friday,Standard
560,05:20,Motsabi 2,Central Park,Forward,Monday to Friday,Standard
532,06:20,Motsabi 2,Central Park,Forward,Monday to Friday,Standard
530,04:40,Phelindaba,Central Park,Forward,Monday to Friday,Standard
553,05:20,Phelindaba,Central Park,Forward,Monday to Friday,Standard
552,05:30,Phelindaba,Central Park,Forward,Monday to Friday,Standard
535,06:20,Phelindaba,Central Park,Forward,Monday to Friday,Standard
502,06:40,Phelindaba,Central Park,Forward,Monday to Friday,Standard
555,05:30,Rocklands,Central Park,Forward,Monday to Friday,Standard
533,06:40,Rocklands,Central Park,Forward,Monday to Friday,Standard
501,04:30,Phase 4,Central Park,Forward,Monday to Friday,Standard
536,05:20,Phase 4,Central Park,Forward,Monday to Friday,Standard
541,05:30,Phase 4,Central Park,Forward,Monday to Friday,Standard
538,06:20,Phase 4,Central Park,Forward,Monday to Friday,Standard
503,05:30,Turflaagte,Central Park,Forward,Monday to Friday,Standard
519,05:30,Turflaagte,Central Park,Forward,Monday to Friday,Standard
520,06:40,Turflaagte,Central Park,Forward,Monday to Friday,Standard
551,05:20,Peter Swart,Central Park,Forward,Monday to Friday,Standard
518,05:20,Peter Swart,Central Park,Forward,Monday to Friday,Standard
503,06:30,Peter Swart,Central Park,Forward,Monday to Friday,Standard
539,06:40,Peter Swart,Central Park,Forward,Monday to Friday,Standard
7,05:50,Bloemside,Central Park,Forward,Monday to Friday,Standard
502,04:40,Phase 6,Central Park,Forward,Monday to Friday,Standard
533,05:20,Phase 6,Central Park,Forward,Monday to Friday,Standard
546,05:20,Phase 6,Central Park,Forward,Monday to Friday,Standard
561,05:20,Phase 6,Central Park,Forward,Monday to Friday,Standard
31,06:40,Mandela View,Central Park,Forward,Monday to Friday,Standard
203,04:20,Zone 1,Central Park,Forward,Monday to Friday,Standard
252,08:00,Zone 1,Central Park,Forward,Monday to Friday,Standard
291,17:30,Zone 1,Central Park,Forward,Monday to Friday,Standard
293,19:00,Zone 1,Central Park,Forward,Monday to Friday,Standard
6202,04:00,Zone 1,Central Park,Forward,Saturday,Standard
6256,06:00,Zone 1,Central Park,Forward,Saturday,Standard
6208,06:10,Zone 1,Central Park,Forward,Saturday,Standard
6210,06:30,Zone 1,Central Park,Forward,Saturday,Standard
6211,06:40,Zone 1,Central Park,Forward,Saturday,Standard
6202,08:00,Zone 1,Central Park,Forward,Saturday,Standard
6254,09:00,Zone 1,Central Park,Forward,Saturday,Standard
6252,10:00,Zone 1,Central Park,Forward,Saturday,Standard
6205,12:40,Zone 1,Central Park,Forward,Saturday,Standard
7255,07:00,Zone 1,Central Park,Forward,Sunday,Standard
7208,09:00,Zone 1,Central Park,Forward,Sunday,Standard
7208,14:00,Zone 1,Central Park,Forward,Sunday,Standard
228,11:00,Zone 1,Central Park,Forward,Monday to Friday,Standard
255,09:00,Zone 1,Central Park,Forward,Monday to Friday,Standard
232,10:00,Zone 1,Central Park,Forward,Monday to Friday,Standard
227,11:50,Zone 1,Central Park,Forward,Monday to Friday,Standard
293,15:20,Zone 1,Central Park,Forward,Monday to Friday,Standard
231,15:50,Zone 1,Central Park,Forward,Monday to Friday,Standard
294,16:30,Zone 1,Central Park,Forward,Monday to Friday,Standard
7251,04:00,Zone 1,Central Park,Forward,Sunday,Standard
7212,18:00,Zone 1,Central Park,Forward,Sunday,Standard
7213,18:30,Zone 1,Central Park,Forward,Sunday,Standard
7204,05:00,Zone 1,Universitas Hospital,Forward,Sunday,Standard
201,16:00,CR Swart,Zone 1,Forward,Monday to Friday,Standard
201,04:40,Zone 1,Hospitals,Forward,Monday to Friday,Standard
229,17:00,Zone 1,Hospitals,Forward,Monday to Friday,Standard
226,04:30,Zone 2,Central Park,Forward,Monday to Friday,Standard
220,06:30,Unit 1,Central Park,Forward,Monday to Friday,Standard
214,04:50,Zone 5,Central Park,Forward,Monday to Friday,Standard
268,05:30,Zone 5,Central Park,Forward,Monday to Friday,Standard
215,06:00,Zone 5,Central Park,Forward,Monday to Friday,Standard
209,04:50,Sakanyoka,Central Park,Forward,Monday to Friday,Standard
217,06:10,Sakanyoka,Central Park,Forward,Monday to Friday,Standard
7252,04:00,Sakanyoka,Central Park,Forward,Sunday,Standard
7203,05:00,Sakanyoka,Central Park,Forward,Sunday,Standard
7206,06:00,Sakanyoka,Central Park,Forward,Sunday,Standard
210,05:00,Makurung,Central Park,Forward,Monday to Friday,Standard
207,05:40,Makurung,Central Park,Forward,Monday to Friday,Standard
252,05:00,Zone 3,Central Park,Forward,Monday to Friday,Standard
262,05:10,Zone 3,Central Park,Forward,Monday to Friday,Standard
202,06:00,Zone 3,Central Park,Forward,Monday to Friday,Standard
218,06:20,Zone 3,Central Park,Forward,Monday to Friday,Standard
290,16:50,Zone 3,Central Park,Forward,Monday to Friday,Standard
263,06:00,Zone 4,Central Park,Forward,Monday to Friday,Standard
206,04:40,Garapulana,Central Park,Forward,Monday to Friday,Standard
211,04:50,Mokwena,Central Park,Forward,Monday to Friday,Standard
212,05:20,Mokwena,Central Park,Forward,Monday to Friday,Standard
213,05:40,Mokwena,Central Park,Forward,Monday to Friday,Standard
216,06:00,Mokwena,Central Park,Forward,Monday to Friday,Standard
219,06:20,Mokwena,Central Park,Forward,Monday to Friday,Standard
230,15:10,Mokwena,Central Park,Forward,Monday to Friday,Standard
227,16:10,Mokwena,Central Park,Forward,Monday to Friday,Standard
6204,05:40,Mokwena,Central Park,Forward,Saturday,Standard
6217,06:10,Mokwena,Central Park,Forward,Saturday,Standard
7205,06:00,Mokwena,Central Park,Forward,Sunday,Standard
205,03:40,Mokwena,Central Park,Forward,Monday to Friday,Standard
6201,04:00,Mokwena,Central Park,Forward,Saturday,Standard
7201,04:00,Mokwena,Central Park,Forward,Sunday,Standard
221,06:30,Moroka School,Central Park,Forward,Monday to Friday,Standard
6206,06:00,Moroka School,Central Park,Forward,Saturday,Standard
6209,06:30,Moroka School,Central Park,Forward,Saturday,Standard
233,05:30,Selosesha,Central Park,Forward,Monday to Friday,Standard
222,06:20,Selosesha,Central Park,Forward,Monday to Friday,Standard
209,08:00,Selosesha,Central Park,Forward,Monday to Friday,Standard
6203,08:10,Selosesha,Central Park,Forward,Saturday,Standard
7213,15:20,Selosesha,Central Park,Forward,Sunday,Standard
266,05:30,Zone 1,Tempe,Forward,Monday to Friday,Standard
224,05:40,Zone 1,Air Force,Forward,Monday to Friday,Standard
208,05:00,Esso,Central Park,Forward,Monday to Friday,Standard
512,16:00,UFS,Phase 2,Forward,Monday to Friday,Standard
537,05:20,Phase 3,Central Park,Forward,Monday to Friday,Standard
542,05:40,Phase 3,Central Park,Forward,Monday to Friday,Standard
561,06:30,Phase 3,Central Park,Forward,Monday to Friday,Standard
537,06:30,Phase 3,Central Park,Forward,Monday to Friday,Standard
513,05:40,Ipopeng,Central Park,Forward,Monday to Friday,Standard
532,05:20,Mafora,Central Park,Forward,Monday to Friday,Standard
545,06:30,Mafora,Central Park,Forward,Monday to Friday,Standard
536,06:30,Mafora,Central Park,Forward,Monday to Friday,Standard
503,04:30,Phase 7,Central Park,Forward,Monday to Friday,Standard
524,05:10,Phase 7,Central Park,Forward,Monday to Friday,Standard
525,05:10,Phase 7,Central Park,Forward,Monday to Friday,Standard
518,06:10,Phase 7,Central Park,Forward,Monday to Friday,Standard
562,06:10,Phase 7,Central Park,Forward,Monday to Friday,Standard
550,05:20,Phase 6,Central Park,Forward,Monday to Friday,Train
544,05:30,Phase 6,Central Park,Forward,Monday to Friday,Train
531,06:30,Phase 6,Central Park,Forward,Monday to Friday,Train
251,04:50,Zone 1,Central Park,Forward,Monday to Friday,Train
257,05:20,Zone 1,Central Park,Forward,Monday to Friday,Train
264,06:00,Zone 1,Central Park,Forward,Monday to Friday,Train
265,06:20,Zone 1,Central Park,Forward,Monday to Friday,Train
6252,05:30,Zone 1,Central Park,Forward,Saturday,Train
6255,05:40,Zone 1,Central Park,Forward,Saturday,Train
250,03:50,Zone 1,Central Park,Forward,Monday to Friday,Train
292,14:50,Zone 1,Central Park,Forward,Monday to Friday,Train
290,12:50,Zone 1,Central Park,Forward,Monday to Friday,Train
291,13:50,Zone 1,Central Park,Forward,Monday to Friday,Train
6254,04:50,Zone 1,Central Park,Forward,Saturday,Train
7253,04:50,Zone 1,Central Park,Forward,Sunday,Train
7254,06:00,Zone 1,Central Park,Forward,Sunday,Train
7256,10:00,Zone 1,Central Park,Forward,Sunday,Train
7255,11:00,Zone 1,Central Park,Forward,Sunday,Train
7258,13:00,Zone 1,Central Park,Forward,Sunday,Train
7257,15:00,Zone 1,Central Park,Forward,Sunday,Train
7256,16:00,Zone 1,Central Park,Forward,Sunday,Train
7258,17:00,Zone 1,Central Park,Forward,Sunday,Train
250,07:20,Zone 1,Central Park,Forward,Monday to Friday,Train
253,04:50,Zone 2,Central Park,Forward,Monday to Friday,Train
256,05:30,Zone 2,Central Park,Forward,Monday to Friday,Train
261,06:00,Zone 2,Central Park,Forward,Monday to Friday,Train
259,05:40,Unit 1,Central Park,Forward,Monday to Friday,Train
6253,05:00,Zone 3 + 4,Central Park,Forward,Saturday,Train
255,05:20,Moroka School,Central Park,Forward,Monday to Friday,Train
260,05:40,Moroka School,Central Park,Forward,Monday to Friday,Train
267,04:20,Rooifontein,Central Park,Forward,Monday to Friday,Train
4,04:10,A1,Central Park,Forward,Monday to Friday,Standard
35,06:00,A1,Central Park,Forward,Monday to Friday,Standard
42,06:10,A1,Central Park,Forward,Monday to Friday,Standard
6005,05:00,A1,Central Park,Forward,Saturday,Standard
6027,06:30,A1,Central Park,Forward,Saturday,Standard
6,04:10,A4,Central Park,Forward,Monday to Friday,Standard
12,05:00,C2,Central Park,Forward,Monday to Friday,Standard
63,05:10,C2,Central Park,Forward,Monday to Friday,Standard
13,05:50,C2,Central Park,Forward,Monday to Friday,Standard
8,04:30,D1,Central Park,Forward,Monday to Friday,Standard
36,05:40,D1,Central Park,Forward,Monday to Friday,Standard
41,06:20,D1,Central Park,Forward,Monday to Friday,Standard
7,04:00,J1,Central Park,Forward,Monday to Friday,Standard
16,04:50,J1,Central Park,Forward,Monday to Friday,Standard
66,05:50,J1,Central Park,Forward,Monday to Friday,Standard
65,05:50,J1,Central Park,Forward,Monday to Friday,Standard
57,15:00,J1,Central Park,Forward,Monday to Friday,Standard
23,14:50,G1,Central Park,Forward,Monday to Friday,Standard
7102,04:10,G2,Central Park,Forward,Sunday,Standard
1,04:00,J3,Central Park,Forward,Monday to Friday,Standard
18,05:10,J3,Central Park,Forward,Monday to Friday,Standard
9,05:20,J3,Central Park,Forward,Monday to Friday,Standard
29,05:30,J3,Central Park,Forward,Monday to Friday,Standard
34,05:40,J3,Central Park,Forward,Monday to Friday,Standard
44,06:30,J3,Central Park,Forward,Monday to Friday,Standard
160,15:40,J3,Central Park,Forward,Monday to Friday,Standard
6003,04:20,J3,Central Park,Forward,Saturday,Standard
6044,06:00,J3,Central Park,Forward,Saturday,Standard
7108,05:20,J3,Central Park,Forward,Sunday,Standard
153,15:40,K6,Central Park,Forward,Monday to Friday,Standard
